"region","acq_date","avg_brightness"
"Western Australia",2019-09-08,324.130952380952
"Western Australia",2019-09-09,332.6
"Western Australia",2019-09-10,325.768817204301
"Western Australia",2019-09-11,331.12962962963
"Western Australia",2019-09-12,328.4
"Western Australia",2019-09-13,327.364150943396
"Western Australia",2019-09-14,331.66
"Western Australia",2019-09-15,337.617777777778
"Western Australia",2019-09-16,316.325
"Western Australia",2019-09-17,333.139285714286
"Western Australia",2019-09-18,342.166666666667
"Western Australia",2019-09-19,306.257142857143
"Western Australia",2019-09-20,321.843333333333
"Western Australia",2019-09-21,336.617142857143
"Western Australia",2019-09-22,335.758208955224
"Western Australia",2019-09-23,320.288888888889
"Western Australia",2019-09-24,331.813461538462
"Western Australia",2019-09-25,336.015789473684
"Western Australia",2019-09-26,330.277419354839
"Western Australia",2019-09-27,327.629591836735
"Western Australia",2019-09-28,326.236363636364
"Western Australia",2019-09-29,336.383739837398
"Western Australia",2019-09-30,338.19537037037
