"region","acq_date","avg_brightness","avg_frp"
"Western Australia","2019-08-08",320.793333333333,19.0466666666667
"Western Australia","2019-08-09",313.5075,16.7475
"Western Australia","2019-08-10",333.07012987013,51.4974025974026
"Western Australia","2019-08-11",322.595454545455,36.5318181818182
"Western Australia","2019-08-12",318.897674418605,35.4581395348837
"Western Australia","2019-08-13",320.304761904762,25.6238095238095
"Western Australia","2019-08-14",314.911764705882,15.2764705882353
"Western Australia","2019-08-15",321.331818181818,27.1318181818182
"Western Australia","2019-08-16",326.587931034483,41.45
"Western Australia","2019-08-17",333.416,51.328
"Western Australia","2019-08-18",318.48,24.98
"Western Australia","2019-08-19",319.6,22.7428571428571
"Western Australia","2019-08-20",316.038888888889,18.6277777777778
"Western Australia","2019-08-21",323.414814814815,39.862962962963
"Western Australia","2019-08-22",326.770588235294,39.6323529411765
"Western Australia","2019-08-23",326.1,32.8888888888889
"Western Australia","2019-08-24",334.317948717949,43.8153846153846
"Western Australia","2019-08-25",327.008695652174,106.55
"Western Australia","2019-08-26",326.9,29.9129032258064
"Western Australia","2019-08-27",318.182352941176,23.8588235294118
"Western Australia","2019-08-28",323.816666666667,35.9875
"Western Australia","2019-08-29",330.214285714286,43.6142857142857
"Western Australia","2019-08-30",324.140909090909,40.3727272727273
"Western Australia","2019-08-31",331.085185185185,37.6148148148148
"Western Australia","2019-09-01",328.85652173913,38.5217391304348
"Western Australia","2019-09-02",337.778260869565,40.1217391304348
"Western Australia","2019-09-03",327.967441860465,70.8325581395349
"Western Australia","2019-09-04",341.757692307692,80.2461538461538
"Western Australia","2019-09-05",318.135714285714,30.65
"Western Australia","2019-09-06",317.390697674419,35.1441860465116
"Western Australia","2019-09-07",341.34,54.868
"Western Australia","2019-09-08",324.130952380952,34.6547619047619
"Western Australia","2019-09-09",332.6,59.4260869565217
"Western Australia","2019-09-10",325.768817204301,32.1516129032258
"Western Australia","2019-09-11",331.12962962963,65.9012345679012
"Western Australia","2019-09-12",328.4,35.7209677419355
"Western Australia","2019-09-13",327.364150943396,54.3754716981132
"Western Australia","2019-09-14",331.66,35.4066666666667
"Western Australia","2019-09-15",337.617777777778,96.7277777777778
"Western Australia","2019-09-16",316.325,21.4333333333333
"Western Australia","2019-09-17",333.139285714286,75.6357142857143
"Western Australia","2019-09-18",342.166666666667,36.2
"Western Australia","2019-09-19",306.257142857143,10.2428571428571
"Western Australia","2019-09-20",321.843333333333,26.81
"Western Australia","2019-09-21",336.617142857143,75.8514285714286
"Western Australia","2019-09-22",335.758208955224,95.6835820895522
"Western Australia","2019-09-23",320.288888888889,44.55
"Western Australia","2019-09-24",331.813461538462,50.9144230769231
"Western Australia","2019-09-25",336.015789473684,58.5894736842105
"Western Australia","2019-09-26",330.277419354839,76.7516129032258
"Western Australia","2019-09-27",327.629591836735,36.2479591836735
"Western Australia","2019-09-28",326.236363636364,46.2324675324675
"Western Australia","2019-09-29",336.383739837398,81.0105691056911
"Western Australia","2019-09-30",338.19537037037,109.221296296296
